Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Ground,Summary
12/09/1936,10:30,"Croydon, England",KLM Royal Dutch Airlines,,Croydon - Amsterdam,Douglas DC-2-115E,PH-AKL,1358,17.0,0.0,The aircraft crashed into houses while attempting to take off in heavy fog. A stewardess and the radio operator survived. Aircraft designer Juan de la Cieva killed.
12/23/1984,18:10,"Near Kranoyarsk, Russia",Aeroflot,3519,,Tupolev TU-154B-2,CCCP-85338,338,110.0,0.0,The aircraft crashed while attempting an emergency landing after the No. 3 engine caught fire. Failure of a  compressor.
04/20/1985,,"Kulusuk, Greenland",Aeronica,,Positioning,Fokker F-27 Friendship 100,YN-BZF,10118,5.0,0.0,After a fuel transfer problem the plane crashed while trying to make an emergency landing in snow. Poor weather and failure of the crew to follow proper procedures with the auxiliary fuel system.
07/28/1950,,"Porte Alegre, Brazil",Panair do Brasil,,Rio de Janeiro - Porte Algegre,Lockheed 049 Constellation,PP-PCG,2962,50.0,0.0,The aircraft flew into power lines during a landing attempt after running out of fuel while in a holding pattern.
05/22/1962,11:40,"Near Markt Schwaben, West Germany",Military - U.S. Navy,,,Lockheed C121J,131390,4310,26.0,0.0,"After departing Rhein-Main Air Base, the pilot sent a distress message requesting an emergency landing.  Soon after, the aircraft disintegrated losing it's left wing. Some sort of undetermined emergency led to explosive decompression which led to the destruction of the plane."
11/22/1975,,"Sofia, Bulgaria",Balkan Bulgarian Airlines,,Sofia - Varna,Antonov AN-24B,LZ-ANA,67302707,48.0,0.0,Crashed shortly after takeoff.
02/20/1972,10:32,"Fairfield, Idaho",Sun Valley Airways - Air Taxi,,"Hailey, ID - Boise, ID",Beechcraft 65-B80,N1027C,,4.0,0.0,In-flight fire caused in-flight structural failure. Left wing separated due to fire resulting from engine cylinder separation. Excessive working hours may have contributed to the accident.
10/02/1964,05:45,"Near Trevelez, Granada, Spain",Union des Transportes Aeriens,,Palma de Mallorca - Port Etienne,Douglas DC-6B,F-BHMS,44062/384,80.0,0.0,"About an hour and a half after departing Palma de Mallorca the airliner crashed into Mt. Alcazaba, 20 miles SSE of Granada. Cause unknown."
02/01/1991,18:07,"LAX, Los Angeles, California",USAir / Skywest Airlilnes,1493/5569,Columbus - Los Angeles \  Los Angeles - Fresno,Boeing B-737-300 / Swearingen SA-227AC,N388US/N683AV,23310/1145 / AC-683,99.0,0.0,"The Skywest Metroliner was told to taxi into position for takeoff and hold. The ATC became preoccupied with another aircraft that departed the tower frequency. A Wings West aircraft reporting 'ready for takeoff', caused some confusion because the controller didn't have a flight progress strip in front of her. The strip appeared to have been misfiled at the clearance delivery position. The USAir, which was cleared to land, landed on top of the Metroliner. After the collision, both planes slid off the runway into an unoccupied fire station and burst into flames.The failure of the Los Angeles Air Traffifacility management to implement procedures that provided redundancy comparable to the requirements contained in the National Operational Position Standards and the failure of the FAA ATS to provide adequate policy direction and oversight to its ATC facility managers. These failures created an environment in the Los Angeles ATC tower that ultimately led to the failure of the  controller to maintain awareness of the traffisituation, culminating in the inappropriate clearances and the subsequent collision of the USAir and SkyWest aircraft. Twenty-two killed aboard the USAir and all 12 aboard the Metroliner."
12/12/1948,,"Taipei, Taiwan",China National Aviation Corporation,,Shanghai - Taipei,Douglas DC-3,,,10.0,0.0,Crashed while attempting to land.
07/27/1950,04:30,"Off O-shima Island, Japan",Military - U.S. Air Force,,,Douglas C-47D,44-76439A,,26.0,0.0,"The aircraft took off from O-shima and reached an altitude of 3,500 feet after which a sudden unexplained descent was made until it crashed into the sea. The surviving witness stated the aircraft hit two moderate bumps followed by dimming of the lights before the descent."
03/27/1990,,"Near Kuito, Angola",Military - Angolan Air Force,,,CASA 212 Aviocar 300,T-410,384,25.0,0.0,Shot down with a missile fired by UNITA rebels.
12/09/1931,,Off Algiers,Aeropostale,,,CAMS 56,F-AIOX,,2.0,0.0,
09/16/1965,11:02,"Near Pastaza, Ecuador",TAO,,Coca - Pastaza,Transportes Aéreos Orientales,HC-AFQ,17009/34272,11.0,0.0,Crashed while en route.
06/16/1955,01:15,"Near Asuncion, Paraguay",Panair do Brasil,,Sao Paulo - Asuncion,Lockheed 049-46-21 Constellation,PP-PDJ,2032,24.0,0.0,Crashed on final approach. Pilot fatigue. The pilot did not follow the recommended procedure for instrument final approach and he descended below the height prescribed in the final approach chart.
09/17/1991,,,Ethiopian Airlines,,,Lockheed L-100-30 Hercules,ET-AJL,5029,4.0,0.0,After experiencing a nose gear problem and attempting to return to the airport the cargo plane made a premature descent and struck Mount Arey.
01/18/1946,11:03,"Cheshire, Connecticut",Eastern Air Lines,16B,New York - Boston,Douglas DC-3-201E,NC19970,3254,17.0,0.0,"The aircraft lost control and spiraled into the ground after the No. 1 engine caught on fire and the left wing separated from the aircraft. The fire, caused by the failure of a fuel line or fuel line connection, led to failure of the left wing."
08/13/1940,10:15,"Near Canberra, Australia",Military - Royal Australian Air Force,,Melbourne - Canberra,Lockheed Hudson A16-97,,,10.0,0.0,"The plane was seen circling Canberra Aerodrome after which it headed west to make the final approach for landing. The aircraft momentarily disappeared behind one of the hills that surround the airport, then reappeared. There was the sound of engines being gunned, then the aircraft disappeared again. An explosion and sight  of a large plume of black smoke followed. All on board the Hudson were killed including several high ranking Australian military leaders. A witness later said the aircraft appeared to drop its left wing and then dip its nose steeply, classisymptoms of a stall, too close to the ground for recovery."
09/18/1945,,"Puncak Jaya, Papua New Guinea",Military - Royal Australian Air Force,,,Douglas C-47B-5-DK,A65-61,14554/25999,29.0,0.0,
05/21/1981,,"Pinarete Mountain, Mexico",Lineas Aereas,,Oaxaca - Puerto Escondido,Convair CV-440-11,XA-KEH,327,20.0,0.0,"Crashed into a mountain at 8,800 feet obscured by clouds."
02/02/1932,,"Marcellus, Michigan",Transamerican Airlines,,Chicago - Kalamazoo,Stearman C-3MB,,,1.0,0.0,Mail plane crashed.
09/25/1996,16:37,"Waddenzee, Netherlands",Dutch Dakota Association,,Texel - Amsterdam,Douglas DC-3C,PH-DDA,19109,32.0,0.0,"Shortly after takeoff from Texel, a connecting rod bearing in the No.1 engine failed. The prop was feathered.  Soon after, a part of the feathering mechanism failed and the prop started windmilling causing drag. The aircraft rapidly descended and crashed onto a mud-flat. The accident was initiated by a combined failure of the left engine and the left feathering system. The accident became inevitable when the flight crew allowed the speed to decrease below stall speed and lost control of the aircraft at an altitude from which recovery was not possible."
08/28/1976,,"Ho Chi Minh City, Vietnam",Air France,,Ho Chi Minh City - Bangkok,Sud Aviation SE 210 Caravelle III,F-BSGZ,83,20.0,0.0,A hijacker set off two grenades and was killed.
01/23/1980,,"Mt. Cemonyet,  Indonesia",Pelita Air Service,,,CASA 212 Aviocar 100,PK-PCX,45/3N,13.0,0.0,"Hit high ground at 2,700 ft. in poor weather while on approach."
11/08/1948,07:40,"Mt. Macedon, Australia",Australian National Airways,,Melbourne - Denilquin,Douglas DC-3,VH-UZK,2003,23.0,0.0,Crashed into Mt. Macedon hidden in fog. The pilot deviated off course from his flight plan and failed to follow VFR flight rules.
10/23/1978,,"Gulf of Sivash, USSR",Aeroflot,,,Antonov AN-24B,CCCP-46327,97305504,26.0,0.0,
09/03/1978,,"Coal Harbour, BC, Canada",AirWest Airlines,,Victoria harbor - Victoria Harbor Water Aerodome,de havilland Canada Twin Otter 200,C-FAIV,215,13.0,0.0,"While on approach, the aircraft yawed to the left and plunged into the ocean in a left-wing and nose-down attitude and sank. In-flight failure of the left-hand inboard flap control rod that led to a sudden retraction of the complete left-hand flap system and sudden loss of control."
06/06/1994,08:20,"Near Xi'an, China",China Northwest Airlines,2303,Xian - Guangzhou,Tupolev TU-154M,B-2610,86A-740,160.0,0.0,The plane broke-up in flight 10 minutes after taking off. Auto-pilot induced oscillations caused the aircraft to shake violently. The autopilot yaw-channel was accidentally connected to the bank control and the bank-channel to the yaw controls.
04/10/1957,15:20,"Anchieta Island, Brazil",REAL,1800,Rio de Janerio - Sao Paulo,Douglas DC-3,PP-ANX,13048,30.0,0.0,"While en route, fire broke out in the starboard engine. As he lost altitude and because of reduced visibility, the pilot did not see the peak of a mountain. When he tried to pull up the plane stalled and crashed. Engine failure."
07/23/1982,02:30,"Castaic, California",Western Helicopter,,Movie set,Bell UH-1B Huey Helicopter,N87701,6414038,1.0,3.0,"During the filming of 'Twilight Zone, The Movie', a helicopter crashed, killing actor ViMorrow, 53, and two child actors. The helicopter was hovering low over a make believe Vietnamese village when an explosive charge from the special effects hit the tail rotor of the helicopter sending it crashing to the ground. One child, Rene Chen, 6, was crushed to death with the right skid. ViMorrow and the other child, Myca Dinh Le, 7, were decapitated. Criminal charges against the production company were eventually dismissed in a much publicized trial. The civil trial ended in awards of 2 million dollars to the families of each of the children and $700,000  to the estate of ViMorrow."
06/12/1982,,"Tabatinga, Brazil",TABA,,Eirunepe - Tabatinga,Fairchild-Hiller FH-227B-LCD,PT-LBV,536,44.0,0.0,The plane crashed into the tower during an approach in adverse weather conditions.
08/21/1998,11:30,"Near Ghorepani, Nepal",Lumbini Airways,,Jomsom - Pokhara,de Havilland Canada DHC-6 Twin Otter 300,9N-ACC,710,18.0,0.0,"The aircraft crashed in a remote mountainous area at an elevation of 12,000 feet while on a flight from Jomsom to Potokari. Radio contact was lost 5 minutes after takeoff from Jomson."
03/26/2001,18:25,"Jadura, Indonesia",Merpati Nusantara Airlines,,Training,Fokker F-27 Friendship 500F,PK-MFL,10609,3.0,0.0,"While approaching Juanda for the 8th touch-and-go landing the aircraft banked to the left, crashed and caught fire."
02/01/1972,,"Near Tegal, Indonesia",PENAS,,,Douglas DC-6,XW-PEH,43126/132,9.0,0.0,Due to a compass error the aircraft became lost and crashed during a forced landing due to fuel starvation.
12/11/1960,19:50,"San Andres de Giles, Argentina",Military - Argentine Air Force,,Buenos Aires - Lima,Avro 691 Lancastrian IV,T-102,,31.0,0.0,The domestiflight cashed and burned in heavy rain 100 miles from it's destination. Pilot error. Flying VFR in adverse weather conditions.
03/31/1956,,"Indapur, India",National Air Operators,,Asansol - Bagdogra,Douglas C-47A,VT-DCM,10230,3.0,0.0,The cargo plane crashed en route. A downdraft which forced down the fully loaded aircraft to the ground when it was flying under exceptionally severe weather conditions below 1000 ft. and possibly at a few hundred feet above the terrain.
03/08/1962,17:43,"Mt. Medetsiz, Turkey",Turkish Airlines (THY),,Ankara - Adana,Fairchild F-27,TC-KOP,0083,11.0,0.0,"Crashed into a mountain at an altitude of 6,800 ft. while en route in poor weather. In avoiding cumulus clouds and turbulent conditions the pilot was not able to keep track of his exact position or maintain exact altitude."
01/01/1970,00:30,"Nulato, Alaska",Galena Air Service - Air Taxi,,"Nulato, AK - Tanana, AK",Cessna 180,N3472Y,,4.0,0.0,Emergency flight to airlift sick patient. Collided with trees while en route. Pilot stayed low to maintain ground contact at night. Continued VFR flight into adverse weather conditions.
04/29/1921,,"Cleveland, Ohio",US Aerial Mail Service,,,De Havilland DH-4,196,,1.0,0.0,
02/03/1965,,"Garoua, Cameroon",Air Cameroon,,,Curtiss C-46A,F-OAFI,26810,4.0,0.0,
11/29/1964,19:20,"Leopoldville, Zaire",Air Congo,,,Douglas DC-4,OO-DEP,18384,14.0,0.0,"While taking off, the aircraft struck an empty fuel drum on the runway which tore away the right stabilizer. The plane lifted off the ground but lost control and crashed."
06/06/1997,07:35,"Near Irumu, Congo",Bazair,,Bunia - Kisangani,Vickers Viscount 781D,9Q-CWL,280,27.0,0.0,Crashed shortly after taking off. Fire in the cabin.
12/28/1927,,"Abuerio, Spain",Aeropostale,,,Breguet 14,F-AFGS,,1.0,0.0,
12/24/1959,05:00,"Palembang, Indonesia",Garuda Indonesia Airlines,330,,Douglas C-47A,PK-GDV,13535,2.0,0.0,"Shortly after takeoff the cargo plane lost the No. 2 engine, tried to return to the airport but crashed. Failure of the right engine, a lack of precaution on the part of the captain and marginal weather. A contributing factor may have been the overloaded condition of the aircraft, however, not to such an extent that it forced the aircraft to descend to a dangerously low altitude."
03/20/1986,,"Near Naha, Indonesia",Merpati Nusantara Airlines,,,CASA 212 Aviocar 100,PK-NCF,108/15N,16.0,0.0,"Crashed into high ground at 1, 900 ft. while flying IFR in rain."
03/18/1991,,"Treasure Cay, Bahamas",Broward Aviation Services - Air Taxi,,,Cessna 402C,N5785C,402C0043,5.0,0.0,Crashed while on approach.
06/30/1959,10:35,"Ishikawa City, Ryukyu Island, Okinawa",Military - U.S. Air Force,,,North American F-100D-25NA,55-3633A,,1.0,17.0,"The pilot ejected and parachuted safely from the aircraft after the engine caught fire and the aircraft became uncontrollable. The plane crashed into the Miyamori Primary School compound and the surrounding neighborhood killing 17, of which 11 were students, and injuring another 181.  Because of the subsequent fire in the aftermath of the crash another 158 persons (28 families) were made homeless."
07/06/1988,,"Barranquilla, Colombia",Lineas Aéreas Suramericanas,,,Canadair CL-44J,HK-3148,39,8.0,0.0,Shortly after taking off the crew experienced failure of the No. 4 engine and a fire. While attemping to return to the airport control was lost and the plane crashed.
03/03/1974,11:41,"Near Ermenonville, France",Turkish Airlines (THY),981,Paris - London,McDonnell Douglas DC-10-10,TC-JAV,46704/29,346.0,0.0,"The aircraft crashed shortly after takeoff from Orly Airport in Paris, France. Climbing through FL110 the aircraft lost the rear cargo door, resulting in explosive decompression and damage to the cabin floor and control cables. The aircraft lost control and crashed in a forest at a high rate of speed. The service subcontractor and the flight engineer neglected to check the locking mechanism through a recently installed viewport to verify the door was latched properly. In addition, although a service bulletin stipulated that the locking pin should be extended, it was mistakenly shortened causing the latch to release after the cabin was pressurized. On June 12, 1972, an American Airlines DC-10 lost its cargo door shortly after taking off from Detroit Michigan. Using mainly engine thrust the crew was able to land safely. The cause was a defect in the latching mechanism on the door."
04/06/1958,23:19,"Freeland, Michigan",Capital Airlines,67,New York - Detroit - Saginaw - Chicago,Vickers Viscount 745D,N7437,135,47.0,0.0,"The aircraft stalled and crashed into a corn field, 300 feet short of the runway, while making a landing attempt at Tri-City Airport in restricted visibility of rain and snow. The aircraft struck the ground nose first, then flipped over and broke apart.  Icing of the horizontal stabilizer leading to loss of pitch control."
02/21/1964,16:00,"Marawi, Philippines",Philippine Air Lines,946,Cotabato - Malabang - Iligan - Cayagan de Oro,Douglas DC-3,PI-C97,14944/2638,32.0,0.0,Struck trees on a mountain ridge and crashed while attempting to land. Continued flight under VFR into IFR conditions.
08/16/1965,20:21,"Lake Michigan, near Chicago, Illinois",United Air Lines,389,New York City - Chicago,Boeing B-727-22,N7036U,18328/146,30.0,0.0,"The plane crashed into Lake Michigan 19.5 miles east of Lake Forest, Illinois during  an approach and while descending from FL 350. The aircraft made a continuous descent at an average rate of approximately 2,000 feet per minute from 35,000 feet to impact with the water in a clean flight configuration. Officially, a cause could not be determined. The aircraft was dispatched illegally without an operating CVR. Possible misread altimeter. The crew could have read the altimeter as 16,000 instead of  6,000 ft. and continued a descent below what they were cleared for. Possible excessive sink rate. Excessive sink rate is thought to have possibly caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected."
07/18/1970,17:20,North AtlantiOcean,Military - Soviet Air Force,,Reykjavik - Halifax - Sidney,Antonov AN-22,CCCP-09303,9340207,23.0,0.0,"Disappeared without a trace while en route with a final destination of Peru, 40 minutes after takeoff. The plane was carrying a field hospital to earthquake stricken Peru."
04/29/1959,16:00,"Valdemeca, Spain",Iberia Airlines,,Barcelona - Madrid,Douglas DC-3,EC-ABC,19334,28.0,0.0,"Crashed into the east slopes of Sierra de Valdemeca after being diverted due to poor weather. Joaquin Blume, Spain's European gymnastics champion, killed. Unfavorable weather made it necessary to deviate from the planned route."
01/11/1955,21:00,"Off Skellings, Ireland",Military -Royal Air Force,,,Avro Shackleton M-2 / Avro Shakleton M-2,WG531 / Wl743,,18.0,0.0,"Disappeared while on a training mission. Possibility, the two planes collided in midair."
03/31/1995,09:11,"Near Balotesti, Romania",Transporturile Aeriene Romane (TAROM),371,Bucharest - Brussel,Airbus A310-324,YR-LCC,450/395,60.0,0.0,"Shortly after takeoff in poor visibility and heavy snow, with autothrottles engaged, climb thrust was selected. The right engine throttle jammed and remained at takeoff thrust, while the left engine throttle slowly reduced to idle. The increasing thrust asymmetry resulted in an increasing left bank angle, which eventually reached about 170 degrees. The airplane lost altitude and impacted the ground. Lack of crew response to an extreme nose-down attitude. The investigation concluded that the captain was incapacitated. Just before impact the first officer expressed his concern about the situation of either the captain's incapacitation or the aircraft's attitude and attempted a recovery."
08/28/1971,,"Off Copenhagen, Denmark",Malev Hungarian Airlines,,"Oslo, Norway - East Berlin, German",Ilyushin IL-18D,HA-MOC,181992903,34.0,0.0,Disappeard from radar while eight miles short of the runway and crashed into the sea while on approach. Crew error. Crew flew below prescribed minimum altitiude.
02/14/1953,17:10,"Off Mobile, Alabama",National Airlines,470,Miami - Orlando - New Orleans,Douglas DC-6,N90893,43057/73,46.0,0.0,"The aircraft crashed into the Gulf of Mexico off Mobile, Alabama. The aircraft broke up in the turbulence of a 'frontal wave' storm after failure of  the left wing. The loss of control followed by the in-flight failure and separation of portions of the airframe structure while the aircraft was traversing an intense frontal-wave type storm of extremely severe turbulence, the severity and location of which the pilot had not been fully informed."
05/09/1996,,"Near Terrace, British Columbia, Canada",Buffalo Narrows Airways,,,de Havilland Canada DHC-3 Otter,C-GDOB,194,2.0,0.0,On a positioning flight the aircraft flew into a mountain.
08/06/1955,,"Near Voronezh, Russia",Aeroflot,,Starllingrad - Moscow.,,,,25.0,0.0,Crashed en route.
11/23/1962,14:10,"Le Bourget, France",Malev Hungarian Airlines,355,Frankfurt - Paris,Ilyushin IL-18D,HA-MOD,180002002,21.0,0.0,"Stalled and crashed during approach, 0.5 miles from the outer marker. Cause undetermined."
09/24/1973,02:00,"Eagleville, California",Dunlap Aviation - Air Taxi,,"Bakersfield, CA - Long Beach, CA",Cessna 310,N3015C,,2.0,0.0,Crashed into mountain while en route. Failed to see and avoid obstructions in rain and hail. No local navaids. Mountain obscured.
05/03/1963,,"Sao Paulo, Brazil",Cruzeiro,,Sao Paulo - Rio de Janeiro,Convair CV-340-59,PP-CDW,159,50.0,0.0,"The aircraft returned to airport after the No. 2 caught fire. The crew feathered the prop, made a left turn, stalled and crashed into a house. Improper feathering procedure."
02/20/1992,,En route from Argentina  to  California,Aerolineas Argentinas,386,,Boeing B-747,,,,0.0,A passenger died of cholera while en route.
10/28/1979,,"Tijuana, Mexico",Procurator Generale de la Republica,,,de Havilland Canada DHC-6 Twin Otter 300,XC-BOS,519,10.0,0.0,Crashed into a utility pole short of the runway in heavy fog.
07/03/1968,,"London, England",BKS Air Transport,,"Deauville, France - London, England",Airspeed AS.57 Ambassador 2,G-AMAD,5211,8.0,0.0,"The cargo plane's left wing struck the ground, the plane struck two other planes, burst into flames and came to rest on its back near a building. Failure of the port flap operating rod due to fatigue, permitting the port flaps to retract. This resulted in a rolling moment to port which could not be controlled."
03/18/1946,,"Between Chungking and Shanghai, China",China National Aviation Corporation,,Chunking - Shanghai,,139,,,,Disappeared while en route. Plane never located.
11/17/1956,17:00,"El Rucio Mountain, Colombia",Empresa Aviacion del Pacifico,,Buenaventura - Cali,Douglas DC-3,HK-385,1971,36.0,0.0,"Hit El Rucio Mountain at 6,200 ft. which was obscured by clouds. Lack of cockpit discipline. Flight on instruments at an excessively low altitude for the route."
02/01/1947,,"Near Lisbon, Portugal",Air France,,Paris - Bordeaux - Lisbon,Douglas DC-3C,F-BAXQ,25251,16.0,0.0,Crashed into Cintra mountain while on approach in poor weather condtions.
08/25/1978,23:37,"Raton, New Mexico",Air Taxi,,"Kansas City, MO - Raton, NM",Mitsubishi MU-2J,N178MA,,6.0,0.0,Pilot misjudged altitude and clearance and crashed while descending to land. Alcoholiimpairment of pilot.
11/21/1990,11:15,"Koh Samui, Thailand",Bangkok Airways,125,Bangkok - Koh Samui,de Havilland Canada DHC-8-103,OB-1358,T210-63675,38.0,0.0,"After receiving a runway change, the crew executed a missed approach.  They became confused on which way to go. They entered an area of clouds and heavy rain, became disoriented and descended in a left wing down attitude until they impacted the ground at a coconut plantation. The pilots experienced spatial disorientation which resulted in improper control of the aircraft. Numerous procedural errors and poor cockpit discipline by the crew. The pilot flew into weather conditions where he had no visual reference. Lack of cross-checking and monitoring of altitude. Improper monitoring the flight instruments."
12/08/1987,,"Off Lima, Peru",Military - Peruvian Naval Aviation,,Pucallpa - Lima,Fokker F-27 Friendship 400M,AE-560,10548,43.0,0.0,The plane was observed during a fly-by to check that the landing gear was down. After attempting another approach the aircraft crashed into the sea. All members of the Alianza Lima soccer team killed. The pilots' lack of experience flying at night and misreading the manual for procedures in emergency situations.
